alpha,train Accuracy,test Accuracy,validation Accuracy
1,0.185768514045,0.174356648906,0.168323392975
2,0.184181102906,0.173449722254,0.168986083499
3,0.182842156118,0.17095567396,0.168102496134
4,0.181627441507,0.169822015644,0.168102496134
5,0.181240941404,0.16948191815,0.16732935719
