Class Pairs,train Accuracy,test Accuracy,validation Accuracy
1:2,0.937897310513,0.926294820717,0.922178988327
1:3,0.809123878603,0.795069337442,0.768421052632
1:4,0.694706786734,0.706834532374,0.685714285714
1:5,0.890984360626,0.88446969697,0.888495575221
1:6,0.964730688135,0.95015576324,0.954819277108
1:7,0.865365612648,0.843253968254,0.860074626866
1:8,0.87757026976,0.869831546708,0.869822485207
1:9,0.923637759018,0.923317683881,0.908952959029
1:10,0.960091220068,0.961182994455,0.936395759717
1:11,0.92463147884,0.910815939279,0.901119402985
1:12,0.878572836586,0.842356687898,0.857142857143
1:13,0.78219263574,0.784482758621,0.790082644628
1:14,0.933992011772,0.920962199313,0.924713584288
1:15,0.861742424242,0.858846918489,0.851782363977
1:16,0.92697961119,0.89846743295,0.907272727273
1:17,0.847905061758,0.839215686275,0.827392120075
1:18,0.80341061506,0.817322834646,0.805135951662
1:19,0.896220505325,0.88926746167,0.899159663866
1:20,0.91383750878,0.903773584906,0.899817850638
1:21,0.903566047212,0.90562248996,0.896030245747
1:22,0.921627212135,0.899253731343,0.909574468085
1:23,0.882134570766,0.888468809074,0.868613138686
1:24,0.97244574494,0.943359375,0.967803030303
1:25,0.827302631579,0.79704797048,0.807622504537
1:26,0.935469002074,0.923076923077,0.928082191781
1:27,0.927654609102,0.920152091255,0.918669131238
1:28,0.868643046517,0.852713178295,0.871212121212
1:29,0.862298195632,0.849845201238,0.867164179104
1:30,0.805063291139,0.79584120983,0.76523297491
2:3,0.818306278115,0.7984,0.813204508857
2:4,0.852947820194,0.866541353383,0.840290381125
2:5,0.93960208432,0.944444444444,0.925143953935
2:6,0.610096248281,0.61003236246,0.579032258065
2:7,0.900305966344,0.891666666667,0.90243902439
2:8,0.844830917874,0.842607313196,0.844936708861
2:9,0.81773495871,0.80325203252,0.811382113821
2:10,0.752993660484,0.736943907157,0.699233716475
2:11,0.937990196078,0.93041749503,0.928861788618
2:12,0.909237921973,0.877483443709,0.897858319605
2:13,0.5742362743,0.559352517986,0.545454545455
2:14,0.706758799395,0.691756272401,0.673721340388
2:15,0.795021961933,0.76617954071,0.777096114519
2:16,0.847018572825,0.825301204819,0.839920948617
2:17,0.790906819885,0.761316872428,0.768916155419
2:18,0.883565678382,0.849427168576,0.851132686084
2:19,0.838087068411,0.845470692718,0.852994555354
2:20,0.810856453559,0.786561264822,0.805940594059
2:21,0.842582987552,0.841772151899,0.841237113402
2:22,0.846863905325,0.830078125,0.836538461538
2:23,0.860659655832,0.855445544554,0.837301587302
2:24,0.93106918239,0.893442622951,0.917355371901
2:25,0.822518159806,0.772200772201,0.808678500986
2:26,0.935437930216,0.92141453831,0.937037037037
2:27,0.93988939649,0.93625498008,0.941649899396
2:28,0.71488938603,0.725609756098,0.681818181818
2:29,0.934617629889,0.935691318328,0.931309904153
2:30,0.784072054989,0.766336633663,0.747081712062
3:4,0.789275466284,0.811487481591,0.770655270655
