beta,train Accuracy,test Accuracy,validation Accuracy
1,0.0770653599282,0.0794694479084,0.0740004417937
2,0.0751190558355,0.0781090579299,0.0722332670643
3,0.073531644696,0.0773154971092,0.0706869891761
4,0.072662019463,0.0762952046253,0.0695825049702
5,0.0720546621575,0.0755016438046,0.0690302628672
