beta,train Accuracy,test Accuracy,validation Accuracy
1,0.554310166333,0.448928692892,0.445880273912
2,0.553716612603,0.448588595397,0.444996686547
3,0.553592380427,0.447001473756,0.444113099183
4,0.553689005452,0.447114839587,0.4436713055
5,0.553564773276,0.446321278767,0.443892202342
