beta,train Accuracy,test Accuracy,validation Accuracy
1,0.923227383863,0.9203187251,0.88326848249
2,0.923227383863,0.9203187251,0.88326848249
3,0.923227383863,0.9203187251,0.88326848249
4,0.923227383863,0.9203187251,0.88326848249
5,0.923227383863,0.9203187251,0.88326848249
