alpha,train Accuracy,test Accuracy,validation Accuracy
1,0.557388363586,0.4568643011,0.45294897283
2,0.552888398095,0.453576691985,0.446653412856
3,0.55179791566,0.449382156218,0.445107134968
4,0.551356201256,0.447568302914,0.444002650762
5,0.550845468976,0.447795034577,0.442898166556
