alpha,train Accuracy,test Accuracy,validation Accuracy
1,0.922493887531,0.926294820717,0.885214007782
2,0.921760391198,0.924302788845,0.88326848249
3,0.921515892421,0.924302788845,0.88326848249
4,0.921026894866,0.924302788845,0.88326848249
5,0.921026894866,0.924302788845,0.88326848249
