alpha,train Accuracy,test Accuracy,validation Accuracy
1,0.0678169645938,0.0681328647546,0.0663795007731
2,0.0680654289461,0.0685863280807,0.0664899491937
3,0.0719856442819,0.0733476930053,0.0717914733819
4,0.0733798053696,0.0759551071307,0.0721228186437
5,0.0732831803437,0.0766353021199,0.0721228186437
