alpha,train Accuracy,test Accuracy,validation Accuracy
1,0.0783490924149,0.0820768620338,0.0778661365142
2,0.0766788598247,0.0804897403922,0.0766512038878
3,0.0748567879081,0.0786758870876,0.0734481996907
4,0.073642073297,0.076862033783,0.0717914733819
5,0.0724549658362,0.0765219362884,0.0703556439143
