filename,train Accuracy,test Accuracy,validation Accuracy
text_description_unigrams.txt.gz,0.909120342,0.682363804,0.693971831
text_game_lda_1000.txt.gz,0.965339223,0.963273634,0.967196819
text_tag_unigrams.txt.gz,0.982023959,0.936749769,0.934535211
